JLE ,TIPO NOMINA ,BANCO , MONTO INICIAL  , BLOQUEO  , MONTO ENVIADO  , MONTO ACEPTADO  , MONTO RECHAZADO  , # RECHAZOS  ,
DG,PE HONO,OB," $439,423.36 "," $5,125.08 "," $434,298.28 "," $429,468.72 "," $4,829.56 ",1,
GR,PE HONO,OB," $6,057,493.92 "," $9,954.64 "," $6,047,539.28 "," $6,037,031.01 "," $10,508.27 ",2,
GT,PE HONO,OB," $2,260,048.32 "," $26,906.38 "," $2,233,141.94 "," $2,233,141.94 ",,,
HG,PE HONO,OB," $505,160.83 ",," $505,160.83 "," $500,798.32 "," $4,362.51 ",1,
JC,PE HONO,OB," $4,523,925.52 "," $29,272.88 "," $4,494,652.64 "," $4,482,708.46 "," $11,944.18 ",2,
MC,PE HONO,OB," $1,520,200.53 "," $9,954.64 "," $1,510,245.89 "," $1,510,245.89 ",,,
MN,PE HONO,OB," $4,250,716.38 "," $20,510.28 "," $4,230,206.10 "," $4,208,602.80 "," $21,603.30 ",4,
MS,PE HONO,OB," $519,110.25 ",," $519,110.25 "," $519,110.25 ",,,
MX,PE HONO,OB," $12,031,243.12 "," $93,639.96 "," $11,937,603.16 "," $11,903,069.63 "," $34,533.53 ",6,
NL,PE HONO,OB," $1,045,714.69 "," $10,802.50 "," $1,034,912.19 "," $1,025,720.12 "," $9,192.07 ",2,
NT,PE HONO,OB," $831,350.65 "," $5,132.87 "," $826,217.78 "," $826,217.78 ",,,
OC,PE HONO,OB," $7,131,179.65 "," $9,659.12 "," $7,121,520.53 "," $7,090,652.63 "," $30,867.90 ",5,
OFC,PE HONO,OB," $2,093,297.37 "," $33,995.45 "," $2,059,301.92 "," $2,053,090.71 "," $6,211.21 ",1,
PL,PE HONO,OB," $342,688.75 ",," $342,688.75 "," $342,688.75 ",,,
QR,PE HONO,OB," $973,014.58 ",," $973,014.58 "," $967,041.64 "," $5,972.94 ",1,
QT,PE HONO,OB," $1,083,988.39 "," $10,803.79 "," $1,073,184.60 "," $1,063,525.48 "," $9,659.12 ",2,
SL,PE HONO,OB," $5,377,294.03 "," $46,027.41 "," $5,331,266.62 "," $5,326,437.06 "," $4,829.56 ",1,
SP,PE HONO,OB," $486,263.78 "," $9,659.12 "," $476,604.66 "," $472,242.15 "," $4,362.51 ",1,
SR,PE HONO,OB," $1,433,233.98 "," $17,624.59 "," $1,415,609.39 "," $1,415,609.39 ",,,
TC,PE HONO,OB," $1,106,467.61 "," $8,373.81 "," $1,098,093.80 "," $1,098,093.80 ",,,
TL,PE HONO,OB," $834,112.44 "," $15,249.66 "," $818,862.78 "," $818,862.78 ",,,
TS,PE HONO,OB," $3,381,840.85 "," $23,557.99 "," $3,358,282.86 "," $3,332,171.89 "," $26,110.97 ",4,
VZ,PE HONO,OB," $9,209,216.39 "," $19,316.91 "," $9,189,899.48 "," $9,179,391.21 "," $10,508.27 ",2,
YN,PE HONO,OB," $1,696,933.48 "," $4,829.56 "," $1,692,103.92 "," $1,680,455.26 "," $11,648.66 ",2,
ZS,PE HONO,OB," $304,569.76 ",," $304,569.76 "," $304,569.76 ",,,
